IDPRODUCTO|NOMBRE|MARCA|DESCRIPCION|PRECIO_COSTO|PRECIO_VENTA|IDSUBCATEGORIA
PRODUCTO.NEXTVAL|Pastina Macarrón Sopa Molitalia Bolsa 250 g|Molitalia|macarron|1.1|1.2|10
PRODUCTO.NEXTVAL|Pastina Letras y Números Don Vittorio Bolsa 250 g|ALICORP|letras|1.35|1.4|10
PRODUCTO.NEXTVAL|Pastina Fussilli de Verdura La Montanara Bolsa 500 g|MONTANARA|FUSSILLI|6.5|6.8|10
PRODUCTO.NEXTVAL|Pastina Fusilli Tricolor Molitalia Bolsa 250 g|Molitalia|FUSSILLI TRICOLOR|1.1|1.29|10
PRODUCTO.NEXTVAL|Pastina Corbatita Nro 08 Nicolini Bolsa 250 g|Nicolini|CORBATITA|1.1|1.2|10
PRODUCTO.NEXTVAL|Pastina Caracol Chico Nro 32 Don Vittorio Bolsa 250 g|ALICORP|CARACOL CHICO|1.3|1.5|10
PRODUCTO.NEXTVAL|Pastina Canuto Chico Molitalia Bolsa 250 g|Molitalia|CANUTO CHICO|1.1|1.29|10
PRODUCTO.NEXTVAL|Pastina Aritos Nro 65 Nicolini Bolsa 250 g|Nicolini|ARITOS|1.1|1.2|10
PRODUCTO.NEXTVAL|Fetuccini Extra Huevo La Montanara Bolsa 500 g|MONTANARA|EXTRA HUEVO|6.3|6.8|10
PRODUCTO.NEXTVAL|Cous Cous La Molisana Contenido 500 g|LA MOLISANA|Cous|12|12.4|10
PRODUCTO.NEXTVAL|FIDEO CANUTO CHICO SANTA CATALINA X 225|SANTA CATALINA|CANUTO CHICO|1.2|1.35|10
PRODUCTO.NEXTVAL|Spaguetti Integral Agnesi Bolsa 500 g|AGNESI|INTEGRAL|14|14.9|10
PRODUCTO.NEXTVAL|Pastina Corbata Mediana Nro 96 Molitalia Bolsa 250 g|Molitalia|CORBATA MEDIANA|1.1|1.29|10
PRODUCTO.NEXTVAL|Pastina Codo Rayado Santa Catalina Bolsa 225 g|SANTA CATALINA|CODO RAYADO|1.2|1.35|10
PRODUCTO.NEXTVAL|Pasta para Ensalada Canuto Fino con Espinaca y Tomate Molitalia Bolsa 250 g|Molitalia|CANUTO FINO|1.6|1.75|10
PRODUCTO.NEXTVAL|Fetuccini Extra Espinaca La Montanara Bolsa 500 g|MONTANARA|EXTRA ESPINACA|6.5|6.8|10
PRODUCTO.NEXTVAL|Fettuccine al Huevo Don Vittorio Colección Maestra Caja 500 g|ALICORP|Fettuccini al huevo|6.5|6.89|10
PRODUCTO.NEXTVAL|Fettucine La Molisana Paquete 500 g|LA MOLISANA|fettuccini|8.5|8.9|10
PRODUCTO.NEXTVAL|Tagliatelle Barilla Al Huevo Caja 500 g|BARILLA|BOLOGNESI|21|21.9|10
PRODUCTO.NEXTVAL|TAGLIATELLE AL HUEVO 500GR IL PASTIFICIO - TAGLIATELLEPASTIFC|TAGLIATELLE|TAGLIATELLE|11|11.4|10
PRODUCTO.NEXTVAL|Spaghetti Integral Misura Bolsa 500 g|MISURA|SPAGHETI|14|14.9|10
PRODUCTO.NEXTVAL|Harina Sin Preparar Nicolini Bolsa 1 kg|Nicolini|harin sin prepara|5.1|5.4|11
PRODUCTO.NEXTVAL|Harina Preparada Blanca Flor Bolsa 1 kg|BLANCA FLOR|HARINA PREPARADA|6.5|6.7|11
PRODUCTO.NEXTVAL|Harina Preparada Favorita Bolsa 1 kg|FAVORITA|HARINA PREPARADA|5|5.15|11
PRODUCTO.NEXTVAL|Harina sin Preparar Molitalia Bolsa 180 g|Molitalia|HARIN SI PREPARAR|0.4|0.7|11
PRODUCTO.NEXTVAL|Harina de Maiz Blanco Precocida P.A.N Contenido 1 kg|P.A.N|HARINA DE MAIZ BLANCO|14|14.49|11
PRODUCTO.NEXTVAL|Harina De Quinua Gelatinizada Orgánica Ecoandino Doypack 250 g|ECOANDINO|HARINA DE QUINUA|10|10.9|11
PRODUCTO.NEXTVAL|Harina Preparada Molitalia Bolsa 500 g|Molitalia|HARINA PREPARADA|2|2.5|11
PRODUCTO.NEXTVAL|Harina De Arroz Mi Tierra Contenido 500 g|MI TIERRA|HARINA DE ARROZ|7|7.4|11
PRODUCTO.NEXTVAL|Harina De Coco Mi Tierra Contenido 400 g|MI TIERRA|HARINA DE COCO|16|16.99|11
PRODUCTO.NEXTVAL|Harina de Ajonjolí Naturandes Bolsa 200 g|NATURA ANDES|HARINA DE AJONJOLI|11|11.6|11
PRODUCTO.NEXTVAL|Harina de Soya Tostada Renacer Bolsa 500 g|RENACER|HARINA DE SOYA|11|11.9|11
PRODUCTO.NEXTVAL|Harina De Maca y Kiwicha Naturandes Frasco 340 g|NATURANDES|HARINA DE MACA|29|29.8|11
PRODUCTO.NEXTVAL|Harina De Maiz Morado Orgánico Ecoandino Doypack 250 g|ECOANDINO|HARINA DE MAIZ MORADO|9|9.9|11
PRODUCTO.NEXTVAL|Harina de cañihua x 200 gr Marimiel - H.cañihua MARIM.|MariMiel|harina de cañihua|13|13.4|11
PRODUCTO.NEXTVAL|Harina De Quinua Marimiel Bolsa 200 g|MariMiel|HARINA DE QUINUA|13|13.4|11
PRODUCTO.NEXTVAL|Trozos de Atún Primor Lata 170 g|PRIMOR|CONSERVA DE ATUN|7|7.3|12
PRODUCTO.NEXTVAL|Duraznos en Almíbar Wong Lata 820 g|WONG|CONSERVA DE DURAZNO|5|5.4|12
PRODUCTO.NEXTVAL|Encurtido Pepinillo Bebe Wong Pote 250 g|WONG|ENCURTIDO|6|6.49|12
PRODUCTO.NEXTVAL|Filete de Atún Primor Lata 170 g|PRIMOR|CONSERVA DE ATUN|5|5.2|12
PRODUCTO.NEXTVAL|Filete de Atún Light Florida Pack 2 Unidades de 170 g c/u|FLORIDA|CONSERVA DE ATUN|1|10.9|12
PRODUCTO.NEXTVAL|Trozos de Atún Campomar en Aceite Vegetal Lata 170 gr|CAMPOMAR|CONSERVA DE ATUN|6.8|7.19|12
PRODUCTO.NEXTVAL|Lomito De Atún Primor Lata 170 g|PRIMOR|LOMITO DE ATUN|4.55|4.9|12
PRODUCTO.NEXTVAL|Lomos de Atún Campomar Light en Agua y Sal Lata 170 gr|CAMPOMAR|LOMITO DE ATUN|7|7.35|12
PRODUCTO.NEXTVAL|Lomos de Atún Campomar en Aceite Lata 170 gr|CAMPOMAR|LOMITO DE ATUN|7|7.35|12
PRODUCTO.NEXTVAL|Filete de Atún Campomar en Aceite Vegetal Lata 170 gr|CAMPOMAR|FILETE DE ATUN|5|5.5|12
PRODUCTO.NEXTVAL|Sólido de Atún Light Florida en Agua Pack 2 Unidades de 185 g c/u|FLORIDA|SOLIDO DE ATUN|14.8|15.2|12
PRODUCTO.NEXTVAL|Trozos de Atún Wong En Aceite Vegetal Lata 170 g|WONG|TROZOS DE ATUN|5.5|6.1|12
PRODUCTO.NEXTVAL|Duraznos en Almíbar Dos Caballos Lata 820 g|DOS CABALLOS|TROZOS DE DURAZNO|6.4|6.99|12
PRODUCTO.NEXTVAL|Duraznos en Almíbar Aconcagua Lata 822 g|ACONCAGUA|TROZOS DE DURAZNO|8|8.9|12
PRODUCTO.NEXTVAL|Puré de Manzana D'Marco Frasco 900 g|D MARCO|PURE DE MANZANA|10|10.8|12
PRODUCTO.NEXTVAL|Filete de Lomito de Atún en Agua Robinson Crusoe Lata 170 g|ROBINSON CRUSOE|LOMITO DE ATUN|5|5.3|12
PRODUCTO.NEXTVAL|Filete de Atún Light Fanny en Agua Lata 170 g - Filete de Atún Light en Agua Lata 170 g|FANNY|FILETE DE ATUN|5|5.75|12
PRODUCTO.NEXTVAL|Sólido de Atún Real en Agua Lata 170 g|REAL|SOLIDO DE ATUN|7|7.4|12
PRODUCTO.NEXTVAL|Solido de Atún Florida Lata 170 g|FLORIDA|SOLIDO DE ATUN|7|7.99|12
PRODUCTO.NEXTVAL|Alcaparras Valle Fértil Frasco 100 g|VALLE FERTIL|ALCAPARRAS|9|9.79|12
PRODUCTO.NEXTVAL|Sólido de Caballa Campomar en Aceite Lata 170 gr|CAMPOMAR|solido de caballa|4|4.79|12
PRODUCTO.NEXTVAL|Cocktail de Frutas en Almíbar Wong Lata 820 g|WONG|FRUTAS EN ALMIBAR|9|9.9|12
PRODUCTO.NEXTVAL|Filete de Atún Light Florida Lata 170 g|FLORIDA|FILETE DE ATUN|7|7.5|12
PRODUCTO.NEXTVAL|Garbanzos al Natural Hoja Redonda Lata 570 g|Hoja Redonda|GARBANZO|6|6.5|12
PRODUCTO.NEXTVAL|Aceite Vegetal Primor Premium Botella 1 L|PRIMOR|ACEITE VEGETAL|6.2|6.89|13
PRODUCTO.NEXTVAL|Aceite Vegetal Primor Corazón Botella 1 L|PRIMOR|ACEITE VEGETAL|7|7.4|13
PRODUCTO.NEXTVAL|Aceite Vegetal Wong Botella 900 ml|PRIMOR|ACEITE VEGETAL|4.2|4.9|13
PRODUCTO.NEXTVAL|Aceite de Girasol Ideal Botella 1 L|PRIMOR|ACEITE VEGETAL|6|6.85|13
PRODUCTO.NEXTVAL|Aceite de Girasol Wong Botella 900 ml|WONG|ACEITE VEGETAL|7|7.2|13
PRODUCTO.NEXTVAL|Aceite de Oliva Filippo Berio Extra Virgen Botella 1 L|FELIPPO BERIO|ACEITE OLIVA|47|48.9|13
PRODUCTO.NEXTVAL|Aceite de Oliva Carbonell Puro Botella 1 L|CARBONEL|ACEITE OLIVA|49|49.99|13
PRODUCTO.NEXTVAL|Aceite Vegetal Primor Clásico Botella 1 L|PRIMOR|ACEITE VEGETAL|6|6.5|13
PRODUCTO.NEXTVAL|Aceite De Oliva Extra Virgen Premium Huerto Alamein Botella 500 cc|Huerto Alemain|ACEITE OLIVA|21|22.7|13
PRODUCTO.NEXTVAL|Aceite de Oliva Filippo Berio Extra Virgen Botella 500 ml|FELIPPO BERIO|ACEITE OLIVA|26|26.9|13
PRODUCTO.NEXTVAL|Aceite de Oliva El Olivar Extra Virgen Botella 500 ml|EL OLIVAR|ACEITE OLIVA|27|27.8|13
PRODUCTO.NEXTVAL|Aceite de Oliva Carbonell Extra Virgen Botella 250 ml|CARBONEL|ACEITE OLIVA|18.5|19.3|13
PRODUCTO.NEXTVAL|Aceite de Ajonjoli Alida Chiang Botella 60 ml|ALIDA CHANG|ACEITE DE AJONJOLI|5|5.15|13
PRODUCTO.NEXTVAL|Aceite Oliva Extra Virgen Borges Botella 1 Litro|BORGES|ACEITE DE OLIVA|39.5|40.45|13
PRODUCTO.NEXTVAL|Aceite Maíz Nouvelle Cuisini Spray 200 ml|NOUBELLE|ACEITE DE MAIZ|10|10.4|13
PRODUCTO.NEXTVAL|Aceite de Canola Puro Harvest Botella 1.42 L|HARVEST|ACEITE DE CANOLA|23.6|24.9|13
PRODUCTO.NEXTVAL|Aceite de Oliva Primor Extra Virgen Botella 450 ml|PRIMOR|ACEITE OLIVA|19|19.6|13
PRODUCTO.NEXTVAL|Aceite de Canola Wong Botella 1.42 L|WONG|ACEITE DE CANOLA|21|22.88|13
PRODUCTO.NEXTVAL|Aceite de Coco Gatti Extra Virgen Frasco 200 ml|GATTI|ACEITE DE COCO|25|25.6|13
PRODUCTO.NEXTVAL|Aceite de Canola Wong Botella 946 ml|WONG|ACEITE DE CANOLA|15|15.99|13
PRODUCTO.NEXTVAL|Aceite de Maíz Florida Botella 1 L|FLORIDA|ACEITE DE MAIZ|12.5|13.5|13
PRODUCTO.NEXTVAL|Aceite de Oliva Filippo Berio Puro Botella 500 ml|FILIPPO BERIO|ACITE DE OLIVA|19.5|20.9|13
PRODUCTO.NEXTVAL|Aceite de Maíz Mazola Original Botella 48 Onzas|MAZOLA|ACEITE DE MAIZ|31.1|32.1|13
PRODUCTO.NEXTVAL|Aceite de Oliva Wong Puro Botella 250 ml|WONG|ACEITE OLIVA|8.9|9.41|13
PRODUCTO.NEXTVAL|Aceite de Oliva Wong Extra Virgen Botella 250 ml|WONG|ACEITE DE OLIVA|10|10.9|13
PRODUCTO.NEXTVAL|Aceite de Canola Wesson Botella 710 ml|WESSON|ACEIT DE CANOLA|17.8|18.9|13
PRODUCTO.NEXTVAL|Aceite de Ajonjolí Tostado Q'inti Botella 100 ml|Q INTI|ACEITE AJONJOLI|9.9|9.45|13
PRODUCTO.NEXTVAL|Aceite de Ajonjolí Gatti Extra Virgen Botella 250 ml|GATTI|ACEITE DE AJONJOLI|24|25.6|13
PRODUCTO.NEXTVAL|Aceite de Linaza Gatti Extra Virgen Botella 250 ml|GATTI|ACEITE DE LINAZA|24.4|25.6|13
PRODUCTO.NEXTVAL|Arroz Extra Costeño Bolsa 5 Kg|COSTEÑO|ARROZ BLANCO|16|16.99|14
PRODUCTO.NEXTVAL|Lenteja Bebé Tesoro Del Campo Bolsa 500 g|TESORO DEL CAMPO|LENTEJA BEBE|5|5.35|14
PRODUCTO.NEXTVAL|Quinua Costeño Bolsa 500 g|COSTEÑO|QUINUA|8.5|9.1|14
PRODUCTO.NEXTVAL|Lenteja Costeño Bolsa 500 g|COSTEÑO|LENTEJA GRANDE|4.5|5.5|14
PRODUCTO.NEXTVAL|Frijol Canario Costeño Bolsa 500 g|COSTEÑO|FREGOL CANARIO|6|6.85|14
PRODUCTO.NEXTVAL|Arroz Extra Wong Bolsa 5 Kg|WONG|ARROZ BLANCO|15.9|16.79|14
PRODUCTO.NEXTVAL|Arroz Extra Valle Norte Mejorado Bolsa 5 Kg|VALLE NORTE|ARROZ BLANCO|20.9|21.9|14
PRODUCTO.NEXTVAL|Arroz Extra Costeño Bolsa 750 g|COSTEÑO|ARROZ BLANCO|3|3.4|14
PRODUCTO.NEXTVAL|Arroz Integral Paisana Bolsa 1 kg|PAISANA|ARROZ BLANCO|4.5|5.6|14
PRODUCTO.NEXTVAL|Frijol Panamito Wong Bolsa 500 g|WONG|FRIGOL|3|3.39|14
PRODUCTO.NEXTVAL|Trigo Mote Costeño Bolsa 500 g|COSTEÑO|MOTE|3|3.5|14
PRODUCTO.NEXTVAL|Maíz Pop Corn Costeño Bolsa 500 g|COSTEÑO|POR CORN|2.2|2.89|14
PRODUCTO.NEXTVAL|Arveja Verde Costeño Bolsa 500 g|COSTEÑO|ARVEJA|4|4.45|14
PRODUCTO.NEXTVAL|Frijol Canario Wong Bolsa 500 g|WONG|FRIJOL CANARIO|6|6.3|14
PRODUCTO.NEXTVAL|Frijol Red Kidney Costeño Bolsa 500 g|COSTEÑO|FRIJOL RED KIDNEY|5|5.3|14
PRODUCTO.NEXTVAL|Garbanzos Costeño Bolsa 500 g|COSTEÑO|GARBANZO|6|6.2|14
PRODUCTO.NEXTVAL|Quinua Tesoro Del Campo Bolsa 500 g|TESORO DEL CAMPO|QUINUA|10|10.6|14
PRODUCTO.NEXTVAL|Maíz Pop Corn Tesoro Del Campo Bolsa 500 g|TESORO DEL CAMPO|MAIZ POP CORN|3|3.45|14
PRODUCTO.NEXTVAL|Frijol Canario Tesoro Del Campo Bolsa 500 g|TESORO DEL CAMPO|FRIJOL CANARIO|5.5|6.3|14
PRODUCTO.NEXTVAL|Arroz Extra Wong Bolsa 750 g|WONG|ARROZ BLANCO|2|2.99|14
PRODUCTO.NEXTVAL|Arroz Extra Valle Norte Bolsa 750 g|VALLE NORTE|ARROZ BLANCO|3|3.55|14
PRODUCTO.NEXTVAL|Arroz Integral Molino Rojo Bolsa 1 Kg|MOLINO ROJO|ARROZ INTEGRAL|5|5.8|14
PRODUCTO.NEXTVAL|Maíz Pop Corn Valle Norte Bolsa 500 g|VALLE NORTE|MAIZ POP CORN|2.2|2.75|14
PRODUCTO.NEXTVAL|Frijol Canario Valle Norte Bolsa 500 g|VALLE NORTE|FRIJO CANARIO|5.5|6.1|14
PRODUCTO.NEXTVAL|Pallar Paisana Bolsa 500 g|PAISANA|PALLAR|6.5|7.1|14
PRODUCTO.NEXTVAL|Sémola Don Vittorio Bolsa 200 g|DON VICTORIO|SEMOLA|1.2|1.59|14
PRODUCTO.NEXTVAL|Sémola Molitalia Bolsa 200 g|Molitalia|SEMOLA|1|1.19|14
PRODUCTO.NEXTVAL|Frijol Negro Costeño Bolsa 500 g|COSTEÑO|FRIJOL NEGRO|6|6.51|14
PRODUCTO.NEXTVAL|Garbanzos Tesoro Del Campo Bolsa 500 g|TESORO DEL CAMPO|GARBANZO DEL CAMPO|5|5.5|14
PRODUCTO.NEXTVAL|Quinua Tricolor Organica Vida&Quinua Bolsa 454 g|VIDA SANA|QUINUA|17|17.5|14
PRODUCTO.NEXTVAL|Arroz Superior Valle Norte Bolsa 5 Kg|VALLE NORTE|ARROZ BLANCO|17|17.6|14
PRODUCTO.NEXTVAL|Lasagne Semola La Molisana Contenido 500 g|LA MOLISANA|SEMOLA|17|17.9|14
PRODUCTO.NEXTVAL|POLENTA BRAMATA X 1 KG AGNESI - POL BRAM AGNESI1KG|AGNESI|POLENTA|10.55|11.3|14
PRODUCTO.NEXTVAL|Maíz Cancha Sierra Exportadora Desgranado Bolsa 425 g|CUSCO|CANCHA CORN|9|9.55|14
PRODUCTO.NEXTVAL|Quinua Perlada Gourmet Incasur Bolsa 250 g|INCA SUR|QUINUA PELADA|10|10.99|14
PRODUCTO.NEXTVAL|Lentejón Tesoro Del Campo Bolsa 500 g|TESORO DEL CAMPO|LENTEJON|5|5.49|14
PRODUCTO.NEXTVAL|Azúcar Rubia Wong Bolsa 2 kg|WONG|AZUCAR RUBIA|5|5.99|15
PRODUCTO.NEXTVAL|Azúcar Rubia Paramonga Bolsa 5 kg|PARAMONGA|AZUCAR RUBIA|13|13.49|15
PRODUCTO.NEXTVAL|Azúcar Rubia Wong Bolsa 5 kg|WONG|AZUCAR RUBIA|14|14.9|15
PRODUCTO.NEXTVAL|Azúcar Rubia Wong Bolsa 1 kg|WONG|AZUCAR RUBIA|2.8|3.1|15
PRODUCTO.NEXTVAL|Azúcar Rubia Paramonga Bolsa 1 kg|PARAMONGA|AZUCAR RUBIA|2.8|3.2|15
PRODUCTO.NEXTVAL|Azúcar Blanca Wong Bolsa 2 kg|WONG|AZUCAR BLANCA|6|6.99|15
PRODUCTO.NEXTVAL|Azúcar Blanca Wong Bolsa 1 kg|WONG|AZUCAR BLANCA|3|3.59|15
PRODUCTO.NEXTVAL|Panela Orgánica Cuisine & Co Doypack 350 g|CUISINE|PANELA|7|7.99|15
PRODUCTO.NEXTVAL|Azúcar Rubia Dulfina Bolsa 1 kg|DULFINA|AZUCAR RUBIA|3|3.3|15
PRODUCTO.NEXTVAL|Endulzante en Polvo Splenda Libre de Calorías Caja 50 Unid|SPLENDA|AZUCAR EN POLVO|18|18.4|15
PRODUCTO.NEXTVAL|Azúcar Blanca Refinada Dulfina Bolsa 2 kg|DULFINA|AZUCAR BLANCA|6.5|7.05|15
PRODUCTO.NEXTVAL|Edulcorante en Polvo Sugafor Libre de Calorías Caja 200 Unid|SUGARFOR|POLVO SUGAR|53.5|54.9|15
PRODUCTO.NEXTVAL|Stevia En Polvo Wong Caja 100 Sobres|WONG|STEVIA|23.5|24.2|15
PRODUCTO.NEXTVAL|Azúcar Morena Light Incauca Caja 850 g|INCAUTA|AZUCAR RUBIA|13|14.4|15
PRODUCTO.NEXTVAL|Fruit Snacks Tangy Welch's Contenido 142 g|WELCHS|GOMAS|9|9.9|16
PRODUCTO.NEXTVAL|TRIDENT EVUP 18X30.6GR SANDIA - TRIDENT VP SANDIA|TRIDENT|GOMA MASCAR|2|2.7|16
PRODUCTO.NEXTVAL|HALLS SANDIA LYPTUS ´12 - HALLS SANDIA LYPTU|HALLS|HALLS SANDIA|1.1|1.35|16
PRODUCTO.NEXTVAL|Fruit Snacks Berries y Cherri Welch's Contenido 142 g|WELCHS|GOMA MASCAR|9|9.9|16
PRODUCTO.NEXTVAL|Furit Snacks Mixed Welch's Contenido 142 g|WELCHS|GOMAS|9|9.9|16
PRODUCTO.NEXTVAL|Caramelos Ambrosoli Cocoroko Perita Ambrosoli Bolsa 350 g|AMBROSOLI|CARAMELO|5.5|6.2|16
PRODUCTO.NEXTVAL|HALLS BARRA 8 UN 29 GR A CHERRY LYPTUS - HALLS CHERRY BARRA - HALLS CHERRY BARRA|HALLS|HALLS TODO|1.1|1.45|16
PRODUCTO.NEXTVAL|Marshmellows Ambrosoli Mellows Bolsa 230 g|AMBROSOLI|MARSHMELLOWS|4|4.2|16
"PRODUCTO.NEXTVAL|
Marshmellows Mr. Mallo American BBQ Bolsa 250 g|BBQ MALLOWS|MARSHMELLOWS|7|7.4|16"
PRODUCTO.NEXTVAL|Gomitas Trolli Sour Glow Worms Bolsa 100 g|TROLLI|GOMITAS|4|4.6|16
PRODUCTO.NEXTVAL|Gomitas Trolli Apple Bolsa 100 g|TROLLI|GOMITAS|4|4.6|16
PRODUCTO.NEXTVAL|Caramelos Ambrosoli Cocoroko Limon Bolsa 350 g|AMBROSOLI|CARAMELO|6|6.2|16
PRODUCTO.NEXTVAL|Toffees de Chocolate La Ibérica Bolsa 300 g|LA IBERICA|CHOCOLATE|17.5|18.39|16
PRODUCTO.NEXTVAL|Gomitas Ambrosoli Ambrosia Bolsa 480 g|AMBROSOLI|GOMITAS|7|7.45|16
PRODUCTO.NEXTVAL|Chin Chin Paticrema Einter Caja 8 Unidades|CHIN CHIN|CHOCOLATE|11|11.5|16
PRODUCTO.NEXTVAL|Caramelos Skittles Caja Fin Size Contenido 10 Unidades|SKITTLES|CHOCOLATE|10.5|11.5|16
PRODUCTO.NEXTVAL|Caramelos Surtidos Wong Contenido 250 g|WONG|CARAMELOS|5|5.45|16
PRODUCTO.NEXTVAL|Caramelo Mike&Ike Red Rageous Contenido 141 g|MIKEPUALKE|CARAMELOS|7|7.9|16
PRODUCTO.NEXTVAL|Chupetes Surtido Globo Pop Pote 60 Unidades|GLOBO POP|CHUPETIN|20|21.2|16
PRODUCTO.NEXTVAL|Gomas Splash Grissly Bolsa 90 g|GRISSLY|GOMAS|3|3.8|16
PRODUCTO.NEXTVAL|Gomas Grissly Delfin 100 g|GRISSLY|GOMAS|3|3.8|16
PRODUCTO.NEXTVAL|Caramelo Soft&Chewyrop Sweetarts Two Pack|SWEETARTS|CARAMELO|10.8|11.8|16
PRODUCTO.NEXTVAL|Caramelo Roll Sweetarts Two Pack|SWEETARTS|CARAMELO|10.9|11.8|16
PRODUCTO.NEXTVAL|Toffe Old England Mint Ambrosoli Bolsa 80 g|AMBROSOLI|TOFFE|8|8.85|16
PRODUCTO.NEXTVAL|GOMAS CALIPTUS CHERRY X25 GR AMBROSOLI|AMBROSOLI|GOMITAS|0.75|0.95|16
PRODUCTO.NEXTVAL|GOMAS CALIPTUS X25GR AMBROSOLI - CALIPTUS X 25GR|AMBROSOLI|GOMITAS|0.75|0.95|16
PRODUCTO.NEXTVAL|FRUNAKOLAS AMBROSOLI 420GR|AMBROSOLI|FRUNAS|7|7.6|16
PRODUCTO.NEXTVAL|TIC TAC X 16 GR FRUIT ADVENTURE - TIC TAC ADVEN - TIC TAC ADVEN - TIC TAC ADVEN - TIC TAC ADVEN - TIC TAC ADVEN - TIC TAC ADVEN - TIC TAC ADVEN - TI|TIC TAC|CARAMELOS|2|2.4|16
PRODUCTO.NEXTVAL|Chupetes Bon Bon Bum Maracuyá Bolsa 24 Unidades|BON BON BUM|CHUPETIN|6|6.85|16
PRODUCTO.NEXTVAL|Caramelos Blandos Arcor Butter Toffe Mini Chocolate Bolsa 400 g|ARCOR|TOFFE|11|11.5|16
PRODUCTO.NEXTVAL|TOFFEE C/DARK CHOCOLATE RIESEN 150g - TOFFEE C/DARK 150G|RIESEN|TOFFE|15|16|16
PRODUCTO.NEXTVAL|CARAM.BLANDOS CAFE X 80UND BRITT - CARAM.BLANDO BRITT - CARAM.BLANDO BRITT|BRITT|CARAMELOS|24|24.95|16
PRODUCTO.NEXTVAL|Chiclets Adams Menta Caja 12 Pastillas|ADAMS|GOMA DE MASCAR|1|1.29|16
PRODUCTO.NEXTVAL|CARAMELOS MENTOS PACK X 3 FRUTAS ROJAS - CARAM.MENTO|MENTOS|CARAMELO|3|3.99|16
PRODUCTO.NEXTVAL|TRIDENT EVUP 18X30.6GR FRESH - TRIDENT VP FRESH|TRIDENT|GOMA DE MASCAR|2|2.7|16
PRODUCTO.NEXTVAL|CARAMELO SAYON 408 GR BAMBI - CARAM SAYON BAMBI|SAYON|CARAMELO|5|5.45|16
PRODUCTO.NEXTVAL|Toffees de Chocolate La Ibérica Bolsa 150 g|LA IBERICA|TOFFE|9|9.9|16
PRODUCTO.NEXTVAL|Galletas Vainilla Field Pack 6 Unid x 37 g|FIELD|GALLETA|3|3.9|17
PRODUCTO.NEXTVAL|Galletas San Jorge Soda Pack 7 Unidades|SAN JORGE|GALLETA DE SODA|3|3.8|17
