IDSUBCATEGORIA|NOMBRE|DESCRIPCION|Fecha_Creacion|IDCATEGORIA
SUB_CAT_SECUENCIA.NEXTVAL|tequila|todo tipo de tequilas|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|4
SUB_CAT_SECUENCIA.NEXTVAL|cerveza|variedad en tipos de cervezas|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|4
SUB_CAT_SECUENCIA.NEXTVAL|gin|varieda en todo tipo de gin|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|4
SUB_CAT_SECUENCIA.NEXTVAL|LECHE|TODOS LOS TIPOS DE LECHES|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|5
SUB_CAT_SECUENCIA.NEXTVAL|YOGURT|TODO TIPO DE YOGURT|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|5
SUB_CAT_SECUENCIA.NEXTVAL|FRUTAS FRESCAS|TODO TIPO DE FRUTAS FRESCAS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|6
SUB_CAT_SECUENCIA.NEXTVAL|VERDURA|VERDURAS FRESCAS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|6
SUB_CAT_SECUENCIA.NEXTVAL|LIMPIEZA COCINA|MATERIALES Y VENTAS PARA LIMPIEZA DE COCINA|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|7
SUB_CAT_SECUENCIA.NEXTVAL|CUIDADO ROPA|TODO RELACIONADO PARA LA ROPA.|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|7
SUB_CAT_SECUENCIA.NEXTVAL|LIMPIEZA HOGAR|TODO RELACIONADO PARA LIMPIEZA DE HOGAR.|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|7
SUB_CAT_SECUENCIA.NEXTVAL|CUIDADO HOGAR|PRODUCTOS PARA EL HOGAR|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|7
SUB_CAT_SECUENCIA.NEXTVAL|LIMPIEZA BAÑOS|PRODUCTOS PARA EL BAÑO|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|7
SUB_CAT_SECUENCIA.NEXTVAL|CUIDAD BUCAL|PRODUCTOS RELACIONADOS CON PASTAS DENTALES ENGUAJES, ETC|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|8
SUB_CAT_SECUENCIA.NEXTVAL|CUIDADO CAPILAR|PRODUCTOS RELACIONADOS CON EL CABELLO|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|8
SUB_CAT_SECUENCIA.NEXTVAL|CREMAS Y MAQUILLAJE|PRODUCTOS DE BELLEZA|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|8
SUB_CAT_SECUENCIA.NEXTVAL|HELADOS|HELADOS DE TODO TIPO|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|8
